item_name,category_name
doğuş kup seker 5 kg tekli sargili,çay kahve
rocco siki şeker nar-çilek 19.5gr,sakız şekerleme
sutas tost kasar peynir 700 gr,peynir
senpilic bonfile,kümes hayvanlari
senpilic izgara tava,kümes hayvanlari
viva cappio deo sprey 150ml,parfüm deodorant
lux karisik cerez,büskivi çerez
findik ici,büskivi çerez
iri kabak,büskivi çerez
kokteyl,büskivi çerez
peyman antep fistigi 156gr,büskivi çerez
kabuklu badem,büskivi çerez
tadım ay cekirdegi 200 gr,büskivi çerez
tat biberiye tursusu 370 gr,hazır yemekler
tadım ay cekirdegi boltuzlu 50gr,büskivi çerez
derya kasar 250gr,peynir
derya dilim kaşar 500 gr,peynir
kebir taze kasar 400 gr,peynir
fidanlar taze kasar 400 gr,peynir
"uludağ gazoz 1,5lt.eko boy",gazli içecek
ülker camlica 250 ml cam,gazli içecek
bizim margarin 250 gr 6li eko paket,tereyağ margarin
terem paket margarin 250 gr.,tereyağ margarin
sana hamurisi margarin 250 gr,tereyağ margarin
sutas meyveli yogurt 2 li çilek,yoğurt
halk margarin 250 gr,tereyağ margarin
halk margarin 500gr kase,tereyağ margarin
bizim margarin 250 gr. paket,tereyağ margarin
uludağ gazoz 1lt efsane,gazli içecek
derya tereyağ 500 gr,tereyağ margarin
kebir tereyağ 500 gr. tuzlu,tereyağ margarin
sek tereyağ 250 gr.köy,tereyağ margarin
pasakoy tereyaği 500gr,tereyağ margarin
tat salatalik kornison tursusu cam 370gr,hazır yemekler
tat kir.pancar tursusu 680gr,hazır yemekler
tat siki dostlar 30cc ketcap+mayonez,hazır yemekler
ceviz lux ici,büskivi çerez
calve ketçap 250gr,hazır yemekler
sade-gullu lokum,büskivi çerez
vurallar lüks kars eski kasar,peynir
f neffis taze kasar peyniri 500 gr,peynir
senpilic but incik,kümes hayvanlari
senpilic ciger,kümes hayvanlari
kuru incir naturel,büskivi çerez
reis gokce beyaz nohut 1kg,bakliyat
reis kuru fasulye dermason 1 kg,bakliyat
permatik tekli,traş malzemeleri
bizim osmancik pirinç 1kg,bakliyat
duru sıvı sabun fruit'n milk 300 ml nar,duş banyo
arko system3 tras bicagi 4 lu,traş malzemeleri
reis trakya baldo pirinç 1 kg,bakliyat
permatik banyo 10lu,traş malzemeleri
gillette blue 2 plus bicak,traş malzemeleri
uludağ frutti extra armutlu 250ml,gazsız içecek
activex barbie sıvı sabun çilek 300ml,duş banyo
calgon toz kirece karsi 1kg kilitli pak.,çamaşır yikama
f saff cam temizleyici 750 ml,ev temizleyici
f saff yüzey temizleyici 1lt lavanta,ev temizleyici
falim sakız 5li damla,sakız şekerleme
vivident czd cult nane 14 adet 26 gr,sakız şekerleme
kent missbon kahveli 43gr,sakız şekerleme
nestle müsli cappuccino çikolata 260 gr,kahvaltılık
nestle nesquik mısır gevr.500gr eko paket,kahvaltılık
nestle corn flakes 500gr eko pk.,kahvaltılık
emek mısırozu yağ 5 lt pet şişe,sıvı yağlar
doğuş kup seker 750gr,çay kahve
falim sakız 5li orman meyveli,sakız şekerleme
vivident czd tropikal 14 adet 26 gr,sakız şekerleme
kent tofita 47gr.portakalli,sakız şekerleme
derya taze kasar 400 gr,peynir
